"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBReadConsent1";"";"OBReadConsent1";"";"OBReadConsent1";"";"";"";""
"Data";"1..1";"OBReadConsent1/Data";"";"OBReadData1";"";"";"";""
"Permissions";"1..n";"OBReadConsent1/Data/Permissions";"Specifies the Open Banking account access data types. This is a list of the data clusters being consented by the PSU, and requested for authorisation with the ASPSP.";"OBExternalPermissions1Code";"ReadAccountsBasic
ReadAccountsDetail
ReadBalances
ReadBeneficiariesBasic
ReadBeneficiariesDetail
ReadDirectDebits
ReadOffers
ReadPAN
ReadParty
ReadPartyPSU
ReadProducts
ReadScheduledPaymentsBasic
ReadScheduledPaymentsDetail
ReadStandingOrdersBasic
ReadStandingOrdersDetail
ReadStatementsBasic
ReadStatementsDetail
ReadTransactionsBasic
ReadTransactionsCredits
ReadTransactionsDebits
ReadTransactionsDetail";"";"";""
"ExpirationDateTime";"0..1";"OBReadConsent1/Data/ExpirationDateTime";"Specified date and time the permissions will expire.
If this is not populated, the permissions will be open ended.";"ISODateTime";"";"";"";""
"TransactionFromDateTime";"0..1";"OBReadConsent1/Data/TransactionFromDateTime";"Specified start date and time for the transaction query period.
If this is not populated, the start date will be open ended, and data will be returned from the earliest available transaction.";"ISODateTime";"";"";"";""
"TransactionToDateTime";"0..1";"OBReadConsent1/Data/TransactionToDateTime";"Specified end date and time for the transaction query period.
If this is not populated, the end date will be open ended, and data will be returned to the latest available transaction.";"ISODateTime";"";"";"";""
"Risk";"1..1";"OBReadConsent1/Risk";"The Risk section is sent by the initiating party to the ASPSP. It is used to specify additional details for risk scoring for Account Info.";"OBRisk2";"";"";"";""
